City,Depot,a,b,c,d,e,f,g,h
Depot,0,0.7067868380413278,0.764922346141397,0.8210330270527602,0.7439569512901352,1.3101806461464045,1.5373773663426165,1.1988559959672873,1.175484389652356
a,0.7067868380413278,0,0.5009938016219045,1.1860668522997886,1.4502483418793972,1.7462886065145222,1.6785796876241375,1.106883547169505,0.80925567209598
b,0.764922346141397,0.5009938016219045,0,0.8186031961117164,1.4327463159984621,2.0339628207160323,2.0995709908886466,1.5775364583918623,1.3100519273349238
c,0.8210330270527602,1.1860668522997886,0.8186031961117164,0,1.0222904401768422,2.0194887986472025,2.349620328655589,2.0068904260542153,1.9020564132401483
d,0.7439569512901352,1.4502483418793972,1.4327463159984621,1.0222904401768422,0,1.1415011514691433,1.6867854192256653,1.6291496854298717,1.7784005764802182
e,1.3101806461464045,1.7462886065145222,2.0339628207160323,2.0194887986472025,1.1415011514691433,0,0.7219646027960284,1.0960563811920276,1.5051297055453983
f,1.5373773663426165,1.6785796876241375,2.0995709908886466,2.349620328655589,1.6867854192256653,0.7219646027960284,0,0.650915640675102,1.118659751263854
g,1.1988559959672873,1.106883547169505,1.5775364583918623,2.0068904260542153,1.6291496854298717,1.0960563811920276,0.650915640675102,0,0.46862715359159673
h,1.175484389652356,0.80925567209598,1.3100519273349238,1.9020564132401483,1.7784005764802182,1.5051297055453983,1.118659751263854,0.46862715359159673,0
