City,Depot,a,b,c,d,e,f,g,h
Depot,0,0.14135736760826556,0.1529844692282794,0.16420660541055204,0.14879139025802704,0.2620361292292809,0.3074754732685233,0.23977119919345746,0.23509687793047118
a,0.14135736760826556,0,0.10019876032438091,0.23721337045995772,0.2900496683758794,0.34925772130290444,0.3357159375248275,0.22137670943390103,0.16185113441919602
b,0.1529844692282794,0.10019876032438091,0,0.16372063922234328,0.28654926319969243,0.40679256414320647,0.41991419817772935,0.31550729167837244,0.26201038546698474
c,0.16420660541055204,0.23721337045995772,0.16372063922234328,0,0.20445808803536844,0.40389775972944053,0.4699240657311178,0.40137808521084306,0.38041128264802965
d,0.14879139025802704,0.2900496683758794,0.28654926319969243,0.20445808803536844,0,0.22830023029382868,0.3373570838451331,0.32582993708597435,0.35568011529604365
e,0.2620361292292809,0.34925772130290444,0.40679256414320647,0.40389775972944053,0.22830023029382868,0,0.14439292055920566,0.21921127623840553,0.30102594110907965
f,0.3074754732685233,0.3357159375248275,0.41991419817772935,0.4699240657311178,0.3373570838451331,0.14439292055920566,0,0.1301831281350204,0.22373195025277082
g,0.23977119919345746,0.22137670943390103,0.31550729167837244,0.40137808521084306,0.32582993708597435,0.21921127623840553,0.1301831281350204,0,0.09372543071831935
h,0.23509687793047118,0.16185113441919602,0.26201038546698474,0.38041128264802965,0.35568011529604365,0.30102594110907965,0.22373195025277082,0.09372543071831935,0
